GRUPO,DEPARTAMEN,PROVINCIA,DISTRITO,hogares_termicos,productores_cobertizo,hectareas_mantas,aulas_calidas,eess_refuerzo,hogares_kit_friaje
ANDES,JUNIN,CHUPACA,YANACANCHA,0,0,0,0,0,0
ANDES,PUNO,MOHO,MOHO,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,CAMINACA,0,0,0,0,0,0
ANDES,AREQUIPA,CONDESUYOS,SALAMANCA,0,0,0,0,0,0
ANDES,PUNO,LAMPA,PALCA,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,SIBAYO,0,0,0,0,0,0
ANDES,PUNO,LAMPA,LAMPA,0,0,0,0,0,0
ANDES,PUNO,LAMPA,NICASIO,0,0,0,0,0,0
ANDES,PUNO,MOHO,HUAYRAPATA,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,ACHAYA,0,0,0,0,0,0
ANDES,AREQUIPA,CASTILLA,CHOCO,0,0,0,0,0,0
ANDES,PUNO,HUANCANE,ROSASPATA,0,0,0,0,0,0
ANDES,CUSCO,ESPINAR,CONDOROMA,0,0,0,0,0,0
ANDES,PUNO,LAMPA,VILAVILA,0,0,0,0,0,0
ANDES,PUNO,HUANCANE,HUANCANE,0,0,0,0,0,0
ANDES,PUNO,HUANCANE,VILQUE CHICO,0,0,0,0,0,0
ANDES,PUNO,LAMPA,OCUVIRI,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,SANTIAGO DE PUPUJA,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,TISCO,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA,0,0,0,0,0,0
ANDES,PUNO,HUANCANE,HUATASANI,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,ARAPA,0,0,0,0,0,0
ANDES,PUNO,SAN ANTONIO DE PUTINA,ANANEA,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,MUNANI,0,0,0,0,0,0
ANDES,PUNO,SAN ANTONIO DE PUTINA,PUTINA,0,0,0,0,0,0
ANDES,CUSCO,CANAS,LAYO,0,0,0,0,0,0
ANDES,CUSCO,CANCHIS,MARANGANI,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,POTONI,0,0,0,0,0,0
ANDES,PUNO,MELGAR,SANTA ROSA,0,0,0,0,0,0
ANDES,PUNO,SANDIA,CUYOCUYO,0,0,0,0,0,0
ANDES,CUSCO,CANAS,KUNTURKANKI,0,0,0,0,0,0
ANDES,CUSCO,CANAS,CHECCA,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,SAN ANTON,0,0,0,0,0,0
ANDES,CUSCO,CHUMBIVILCAS,SANTO TOMAS,0,0,0,0,0,0
ANDES,CUSCO,CANAS,LANGUI,0,0,0,0,0,0
ANDES,PUNO,CARABAYA,USICAYOS,0,0,0,0,0,0
ANDES,PUNO,MELGAR,LLALLI,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,SAN JOSE,0,0,0,0,0,0
ANDES,CUSCO,ESPINAR,COPORAQUE,0,0,0,0,0,0
ANDES,APURIMAC,ANTABAMBA,OROPESA,0,0,0,0,0,0
ANDES,PUNO,CARABAYA,CRUCERO,0,0,0,0,0,0
ANDES,PUNO,MELGAR,ANTAUTA,0,0,0,0,0,0
ANDES,CUSCO,CANCHIS,SICUANI,0,0,0,0,0,0
ANDES,PUNO,CARABAYA,CORANI,0,0,0,0,0,0
ANDES,CUSCO,CANCHIS,PITUMARCA,0,0,0,0,0,0
ANDES,PUNO,CARABAYA,MACUSANI,0,0,0,0,0,0
ANDES,APURIMAC,GRAU,CURPAHUASI,0,0,0,0,0,0
ANDES,CUSCO,CANCHIS,CHECACUPE,0,0,0,0,0,0
ANDES,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,0,0,0,0,0,0
ANDES,HUANCAVELICA,CASTROVIRREYNA,AURAHUA,0,0,0,0,0,0
ANDES,JUNIN,YAULI,MARCAPOMACOCHA,0,0,0,0,0,0
ANDES,HUANCAVELICA,HUANCAVELICA,VILCA,0,0,0,0,0,0
ANDES,JUNIN,CHUPACA,CHONGOS BAJO,0,0,0,0,0,0
ANDES,CUSCO,QUISPICANCHI,CCARHUAYO,0,0,0,0,0,0
ANDES,JUNIN,HUANCAYO,CHICCHE,0,0,0,0,0,0
ANDES,CUSCO,ANTA,HUAROCONDO,0,0,0,0,0,0
ANDES,JUNIN,HUANCAYO,CHONGOS ALTO,0,0,0,0,0,0
ANDES,JUNIN,YAULI,SUITUCANCHA,0,0,0,0,0,0
